env,config,gamma,seeds_count,success_mean,success_std,reward_mean,reward_std,peak_force_mean,peak_force_std,force_exceedance_rate_mean,force_exceedance_rate_std,joint_violations_mean,joint_violations_std,avg_cond_num_mean,avg_cond_num_std,avg_eucl_jerk_mean,avg_eucl_jerk_std,avg_riem_jerk_mean,avg_riem_jerk_std,wipe_percentage_mean,wipe_percentage_std,auc_sr_mean,auc_sr_std
NutAssemblySquare,BASELINE,0.98,1,0.21,0.0,63.35817460530952,0.0,78.81102740733229,0.0,0.019200000000000002,0.0,70.36,0.0,54.53955349592415,0.0,8.023666751096133,0.0,0.13351377460364536,0.0,,,0.0,0.0
NutAssemblySquare,DIAG,0.98,1,0.26,0.0,70.08649308567365,0.0,21.058636488821993,0.0,0.0007333333333333333,0.0,4.73,0.0,2.323950296247857,0.0,1.4518718334636145,0.0,0.05457885071671153,0.0,,,0.0,0.0
NutAssemblySquare,LIE_ONLY,0.98,1,0.21,0.0,65.96244530241297,0.0,82.52274350579636,0.0,0.018466666666666666,0.0,61.19,0.0,1.3316124804612295,0.0,8.092004872930781,0.0,0.10070938524813768,0.0,,,0.0,0.0
NutAssemblySquare,SPD_ONLY,0.98,1,0.36,0.0,68.54479695175213,0.0,26.80425015600045,0.0,0.0011333333333333332,0.0,0.0,0.0,4.721510889913143,0.0,1.2925459973957674,0.0,0.06746483617702849,0.0,,,0.0,0.0
NutAssemblySquare,FULL_GRL,0.98,1,0.1,0.0,79.42329833510036,0.0,28.815493612141946,0.0,0.0015333333333333332,0.0,0.0,0.0,2.3273475233408196,0.0,0.6842130896743416,0.0,0.06032654020198679,0.0,,,0.0,0.0
NutAssemblySquare,BASELINE_LLM,0.98,1,0.27,0.0,68.16895168423588,0.0,27.85649327655316,0.0,0.0008666666666666667,0.0,3.84,0.0,2.420137437149768,0.0,2.7839929942525945,0.0,0.06920388370325824,0.0,,,0.0,0.0
NutAssemblySquare,LIE_ONLY_LLM,0.98,1,0.25,0.0,65.10094226009002,0.0,46.709182353365506,0.0,0.0016666666666666668,0.0,31.72,0.0,1.2709066102591304,0.0,2.633183001526622,0.0,0.06703788696635442,0.0,,,0.0,0.0
NutAssemblySquare,SPD_ONLY_LLM,0.98,1,0.34,0.0,65.28903093106221,0.0,32.78107130242463,0.0,0.0015999999999999999,0.0,0.0,0.0,2.076382690663367,0.0,1.4115022867037237,0.0,0.05462146149794366,0.0,,,0.0,0.0
NutAssemblySquare,FULL_GRL_LLM,0.95,3,0.2966666666666667,0.0262466929133727,72.33151269312886,6.810388298901413,37.440995229028665,16.037812385657677,0.0013555555555555554,0.00017497795275581805,0.0,0.0,5.0228162022387695,0.5620126062487771,4.147057116973291,0.37476484624979106,0.12246497203250854,0.006515309779680996,,,0.0,0.0
Door,BASELINE,0.95,3,0.013333333333333334,0.018856180831641266,11.633626282212154,1.6464273911596146,1121.0545426431574,86.49601262050999,0.35366666666666674,0.022195695278339134,36.32333333333333,2.4011154815117806,8.49022942363259,2.240291395856727,129.6112050990944,20.992449826200975,1.4517466884570898,0.2631516618015589,,,0.0,0.0
Door,DIAG,0.95,3,0.0033333333333333335,0.004714045207910317,11.28826503728113,1.0717663797187669,720.7232322212798,98.53679531524027,0.2879333333333333,0.08793290371388601,38.169999999999995,0.3275159029217752,41.85266510490134,8.688504763016388,93.45943463292441,20.774472978311515,2.0555526173255214,0.22133153154401616,,,0.0,0.0
Door,LIE_ONLY,0.95,3,0.0,0.0,12.706609378021659,1.7410616400353107,944.5702566041114,70.53982768469734,0.41126666666666667,0.13924715037977933,34.74333333333333,3.9168212735442607,19.032612574796804,5.568900242664891,147.4097875831146,11.350725392746215,1.904233815451775,0.3000712132265526,,,0.0,0.0
Door,SPD_ONLY,0.95,3,0.0,0.0,12.930932637584121,3.005128000891102,843.4331021762487,29.94406353486852,0.5120666666666667,0.12615718590534417,33.46666666666667,4.088294944785118,60.030974065680645,10.279437465932052,113.60011776693382,23.128521541501165,2.399575993766753,0.5998015382953609,,,0.0,0.0
Door,FULL_GRL,0.95,3,0.023333333333333334,0.016996731711975948,15.561264235721344,1.51088714703941,923.7172930658056,95.47440560372145,0.5630666666666666,0.11400635459871913,23.52,4.12190085599674,68.16750402719167,9.70173661914379,131.1513382142409,14.467034173269877,2.7632834914262596,0.2314875735011184,,,0.0,0.0
Door,BASELINE_LLM,0.95,3,0.0,0.0,0.9318640290732505,0.7429254213259108,1184.161774173237,618.69449915406,0.05793333333333333,0.02878024013489502,27.179999999999996,6.652578447489364,2.955934111897676,0.513512283329157,56.80293750177591,19.4903198734268,0.9633898489591047,0.29599351388458095,,,0.0,0.0
Door,LIE_ONLY_LLM,0.95,2,0.0,0.0,2.588924508019735,1.6060931662266287,802.250937516482,281.4677770190082,0.1577,0.07510000000000003,20.695,0.6150000000000002,2.3083202565925283,0.11749012686075622,59.12975849810693,1.9789189003357848,0.9670441432537944,0.07518742919994165,,,0.0,0.0
Door,SPD_ONLY_LLM,0.95,2,0.0,0.0,0.12536435674737678,0.044521490117054016,427.80255690236896,69.51402376486288,0.031599999999999996,0.009199999999999993,19.915,7.125,3.896987958070861,0.568810985856208,30.302079920094236,2.824072576826234,0.9191329983671326,0.12131409680027438,,,0.0,0.0
Door,FULL_GRL_LLM,0.95,2,0.0,0.0,1.6190996802544553,1.5919490990444858,211.1718147192147,142.33372958592173,0.1252,0.1222,32.6,1.9000000000000004,3.3023313106321686,0.08124716008244603,31.4193201482834,1.0604735916569972,0.8803713876130966,0.03815795830236535,,,0.0,0.0
TiltedWipe,BASELINE,0.98,3,0.06666666666666667,0.044969125210773474,89.30569946019057,5.30430035206368,638.5974068153315,47.67102183166061,0.28685922598929836,0.04604808371008183,0.2833333333333334,0.13474255287605158,9.033258638162257,2.045233051374673,135.71139941777383,6.507917419688955,1.4346330941043348,0.1045711409903349,0.7298,0.03634611396009217,0.0,0.0
TiltedWipe,DIAG,0.98,3,0.0,0.0,9.423744525474408,11.44535612040192,112.7374203774216,73.48237530572419,0.09921356261093774,0.12103162679910023,0.5433333333333333,0.2478350706058814,33.1696413692734,14.101638631301553,42.45970948781167,26.835798493042308,1.1228733455948847,0.477812719249042,0.07026666666666664,0.09683764190070349,0.0,0.0
TiltedWipe,LIE_ONLY,0.98,3,0.05000000000000001,0.06377042156569664,74.36425534538192,5.985842038302398,648.8951690034128,71.20179305236175,0.3543157235566842,0.03680953450155372,0.15666666666666668,0.08055363982396382,9.972317450330275,2.128045194719931,156.7927673608975,6.8824116211142545,1.574118639538636,0.20488261328050694,0.6777666666666667,0.06544882648977669,0.0,0.0
TiltedWipe,SPD_ONLY,0.98,3,0.10333333333333333,0.06944222218666553,87.22850742707824,5.915804688089834,565.6369868870856,94.881064795952,0.31641124376733154,0.059057680187479075,0.24333333333333332,0.12657891697365015,51.03318433795627,5.698470739204458,122.10853623235653,6.9158673373556105,3.0498319569801633,0.23474303637223437,0.7540666666666667,0.08325404227757083,0.0,0.0
TiltedWipe,FULL_GRL,0.98,3,0.14333333333333334,0.044969125210773474,87.45191399878166,9.38047333442951,672.1434767249751,37.83975803396774,0.35543505224888694,0.052346910251711676,0.2866666666666667,0.13424687043734843,43.10474832878716,6.247619148375776,132.50499078776795,8.633161346831034,3.0649633565200136,0.12815336793024187,0.7655666666666668,0.05576201415141163,0.0,0.0
TiltedWipe,BASELINE_LLM,0.98,3,0.0,0.0,-0.46694106731858387,0.16599947780349253,288.00704570876115,133.68250350750608,0.05230404470217703,0.014774845260076597,0.5233333333333333,0.16819301082057153,2.880965498678981,0.48198083495077865,54.907375496618215,3.2211257642611466,0.9621503977170552,0.09875241016244651,0.005666666666666666,0.004391152721350308,0.0,0.0
TiltedWipe,LIE_ONLY_LLM,0.98,3,0.0,0.0,-0.6631819753653513,0.5697722361192626,184.8398228118233,129.74643033044825,0.31397245673052043,0.2410005745783469,0.5333333333333333,0.33806639716021597,2.238824859312508,0.13991061973687693,43.559638809377994,4.100031671020043,0.82563950536743,0.07640747570561264,0.0045000000000000005,0.006363961030678929,0.0,0.0
TiltedWipe,SPD_ONLY_LLM,0.98,3,0.0,0.0,3.15824515098342,4.705409757532961,76.06339929263122,94.65928863506116,0.009411008108096702,0.0067358595527257795,0.7999999999999999,0.282842712474619,5.800878842994803,1.8511345270417332,29.382397149131616,16.74907027738524,1.1395480044467003,0.34699731240410964,0.02013333333333333,0.028472833055778305,0.0,0.0
TiltedWipe,FULL_GRL_LLM,0.98,3,0.0,0.0,-0.0028280187018499916,0.16890955439529964,91.13347634783848,62.4567026022973,0.01714935932309024,0.016043673687044263,0.6433333333333334,0.3720513704076659,3.2595806444908617,0.2906247706877941,21.169011377638654,6.291520400147432,0.7731163523628387,0.18801627643479638,0.0011333333333333332,0.0016027753706895078,0.0,0.0
